ac_id,requirement,ac_number,design_section,task_ids,test_ids,coverage_status,when_summary,then_summary,notes
Req31.AC12,31,12,"§4.2.2, §4.11",114;90,,PARTIAL,the Prestway team sets up the integration,the `VITE_CLEARSALE_APP_KEY` MUST be obtained directly from ClearSale (separate from the NetCred relationship); the AppKey is environment-specific (sandbox AppKey ≠ production AppK…,GAP: ops confirmation ClearSale sandbox AppKey with NetCred — runbook only
Req32.AC1,32,1,§4.13,48;80,94,COVERED,the provider marks the service as executed,"the system MUST verify `scheduled_start_date <= CURRENT_DATE` (date-only comparison, no time component); if the scheduled date is in the future, the RPC MUST return HTTP 409 with `…",Provider mark EXECUTED date gate
Req32.AC2,32,2,§4.13,108;80,94,COVERED,the client explicitly confirms service delivery,"the system MUST atomically: (1) transition `contracted_services.status = 'COMPLETED'`, `completed_at = now()`, `completed_by = 'client'`; (2) insert a `payment_audit_log` entry for…",Client confirm COMPLETED
Req32.AC3,32,3,§4.13,47;54,119,COVERED,the `auto-complete-executed-services` cron fires,"the system MUST atomically: (1) transition `contracted_services.status = 'COMPLETED'`, `completed_at = now()`, `completed_by = 'system'`; (2) insert a `payment_audit_log` entry for…",Auto-complete after 24h system
Req32.AC4,32,4,§4.13,47;108,119,COVERED,`payment_schedules.is_disputed = true` (chargeback in progress),the service status MUST NOT be blocked by the dispute; transition to `COMPLETED` proceeds normally via client confirmation or auto-completion; dispute resolution is handled separat…,Dispute does not block completion
Req32.AC5,32,5,§4.13,112;81,94,COVERED,the UI renders payout information,it MUST show estimated bank receipt ~D+30 from `paid_at` and MUST NOT imply that `COMPLETED` triggers bank transfer.,D+30 settlement disclosure from paid_at
Req32.AC6,32,6,§4.13,48,94,COVERED,`contracted_services.status ≠ 'CONFIRMED'`,the RPC MUST return HTTP 409 with `error_code: 'INVALID_STATUS_TRANSITION'`; the operation MUST NOT proceed.,INVALID_STATUS_TRANSITION guard
Req33.AC1,33,1,§4.10,45;46;53,119,COVERED,it selects eligible schedules,it MUST select `payment_schedules` WHERE `state = 'SCHEDULED'` AND `upcoming_charge_notified_at IS NULL` AND `charge_scheduled_at - now() <= interval '24 hours'` AND `charge_schedu…,Claim SCHEDULED within 24h of charge_scheduled_at
Req33.AC2,33,2,§4.10,45;53;126,119,COVERED,notification is dispatched,"the system MUST enqueue Push + Email to the client with: service summary, `charge_scheduled_at` date/time, amount to be charged (fee-inclusive), and links to update payment method …",Client Push+Email; no provider notification
Req33.AC3,33,3,§4.10,45;53,119,COVERED,the cron commits,`payment_schedules.upcoming_charge_notified_at` MUST be set to `now()` atomically in the same transaction; duplicate notifications for the same schedule MUST be prevented by this f…,Set upcoming_charge_notified_at atomically
Req33.AC4,33,4,§4.10,45;53,119,COVERED,the pre-charge notification cron evaluates the schedule,the 24h-before-charge notification MUST NOT be sent (charge occurs within hours; checkout disclosure at acceptance is sufficient).,Skip when emergency scheduling
Req33.AC5,33,5,§4.10,24;86,119,COVERED,`CHARGE_RESCHEDULED` is committed,`upcoming_charge_notified_at` MUST be reset to NULL so a new 24h notification can fire for the updated charge date.,Reset upcoming_charge_notified_at on reschedule
Req33.AC6,33,6,§4.10,23,119,COVERED,the update is persisted on a `SCHEDULED` schedule,`upcoming_charge_notified_at` MUST NOT be reset; the existing notification remains valid.,payment_update_method does NOT reset notified_at
